transaction_id,merchant_id,customer_id,transaction_amount,transaction_time,fraud_flag,fraud_reason,transaction_status
T001,M001,C001,1200,2024-06-01 10:00:00,FALSE,,VALID
T002,M002,C002,54000,2024-06-01 10:01:00,FALSE,,VALID
T003,M003,C003,150000,2024-06-01 10:02:00,TRUE,HIGH_VALUE_TRANSACTION,SUSPICIOUS
T004,M004,C004,3000,2024-06-01 10:02:30,FALSE,,VALID
T005,M005,C005,60000,2024-06-01 10:03:00,TRUE,CRYPTO_HIGH_VALUE,SUSPICIOUS
T006,M001,C001,2000,2024-06-01 10:03:30,FALSE,,VALID
T007,M001,C001,2500,2024-06-01 10:04:00,FALSE,,VALID
T008,M001,C001,3000,2024-06-01 10:04:30,FALSE,,VALID
T009,M002,C006,800,2024-06-01 10:05:00,FALSE,,VALID
T010,M003,C007,95000,2024-06-01 10:06:00,TRUE,CROSS_BORDER_TRANSACTION,SUSPICIOUS
T011,M004,C008,500,2024-06-01 10:07:00,FALSE,,VALID
T012,M007,C009,7200,2024-06-01 10:08:00,FALSE,,VALID
T013,M008,C010,1300,2024-06-01 10:09:00,FALSE,,VALID
T014,M009,C011,450,2024-06-01 10:10:00,FALSE,,VALID
T015,M010,C012,900,2024-06-01 10:11:00,FALSE,,VALID
T020,M004,C017,3000,2024-06-01 10:15:00,FALSE,,VALID
